"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","132,30","133,00","133,00","131,35","8,23K","-1,27%"
"21.05.2020","134,00","133,60","134,00","133,42","3,61K","0,75%"
"20.05.2020","133,00","133,90","138,00","133,00","1,72K","0,00%"
"19.05.2020","133,00","135,00","135,00","133,00","5,02K","-2,31%"
"18.05.2020","136,14","136,80","136,80","135,60","0,86K","2,05%"
"15.05.2020","133,40","135,00","135,00","132,50","2,37K","-2,20%"
"14.05.2020","136,40","133,00","137,90","133,00","3,62K","0,41%"
"13.05.2020","135,84","140,00","140,50","135,50","6,59K","-4,00%"
"12.05.2020","141,50","142,73","143,20","141,01","2,44K","-0,14%"
"11.05.2020","141,70","140,95","144,20","140,50","19,04K","-2,95%"
"08.05.2020","146,00","146,00","148,40","145,80","4,64K","1,39%"
"07.05.2020","144,00","143,00","145,20","141,65","7,00K","0,80%"
"06.05.2020","142,86","145,00","145,00","142,00","0,91K","0,25%"
"05.05.2020","142,50","145,30","145,30","142,50","1,98K","0,35%"
"04.05.2020","142,00","141,50","142,00","136,80","0,90K","-5,18%"
"30.04.2020","149,75","149,05","149,75","148,00","3,64K","0,57%"
"29.04.2020","148,90","142,50","150,00","142,50","2,15K","6,70%"
"28.04.2020","139,55","141,50","141,50","139,50","7,72K","1,79%"
"27.04.2020","137,10","135,50","138,50","135,50","7,96K","2,31%"
"24.04.2020","134,00","137,00","137,00","134,00","3,19K","-2,40%"
"23.04.2020","137,30","140,30","140,85","136,00","7,20K","-1,36%"
"22.04.2020","139,20","140,40","140,40","137,00","4,63K","0,65%"
"21.04.2020","138,30","139,95","140,30","137,00","4,64K","-2,95%"
"20.04.2020","142,50","142,00","145,00","142,00","5,04K","-0,35%"
"17.04.2020","143,00","145,50","145,50","142,00","6,98K","0,99%"
"16.04.2020","141,60","140,00","142,50","140,00","3,78K","0,93%"
"15.04.2020","140,30","135,10","140,55","135,10","4,74K","2,04%"
"14.04.2020","137,50","135,40","137,50","133,00","13,15K","1,10%"
"13.04.2020","136,00","130,00","136,00","130,00","5,15K","0,01%"
"08.04.2020","135,99","129,00","136,60","129,00","4,77K","9,50%"
"07.04.2020","124,20","130,27","131,67","124,20","2,93K","-0,75%"
"06.04.2020","125,13","127,37","127,37","124,29","1,83K","2,68%"
"03.04.2020","121,86","125,41","126,07","121,19","4,96K","-3,73%"
"02.04.2020","126,58","124,24","129,80","124,24","2,73K","0,89%"
"01.04.2020","125,46","130,73","130,73","123,26","5,95K","-6,38%"
"31.03.2020","134,00","127,00","137,46","127,00","7,76K","7,89%"
"30.03.2020","124,20","117,66","124,51","117,66","14,60K","5,30%"
"27.03.2020","117,94","121,40","121,40","110,98","12,95K","-10,24%"
"26.03.2020","131,40","131,10","134,10","127,08","326,50K","2,10%"
"25.03.2020","128,70","131,70","131,70","127,68","8,36K","1,58%"
"24.03.2020","126,70","129,20","130,30","125,70","5,81K","1,52%"
"23.03.2020","124,80","131,00","131,00","121,00","2,99K","-6,87%"
"20.03.2020","134,00","139,15","144,70","130,00","4,89K","-0,67%"
"19.03.2020","134,90","130,70","137,13","130,70","4,57K","-0,66%"
"18.03.2020","135,80","136,67","138,75","128,20","6,34K","-7,62%"
"17.03.2020","147,00","150,08","156,00","147,00","6,52K","-1,34%"
"16.03.2020","149,00","157,30","162,05","149,00","4,78K","-13,87%"
"13.03.2020","173,00","163,30","173,00","157,13","9,64K","14,57%"
"12.03.2020","151,00","150,00","161,00","149,00","14,01K","-11,98%"
"11.03.2020","171,55","176,37","176,37","171,50","47,89K","-4,38%"
"10.03.2020","179,40","179,90","180,50","174,00","3,35K","2,51%"
"09.03.2020","175,00","177,23","177,40","172,23","5,60K","-6,27%"
"06.03.2020","186,70","183,30","187,20","183,30","2,06K","-2,26%"
"05.03.2020","191,01","195,50","196,10","191,01","6,88K","-3,57%"
"04.03.2020","198,08","189,25","198,08","189,25","1,61K","5,67%"
"03.03.2020","187,45","191,35","192,15","186,12","3,01K","-1,34%"
"02.03.2020","190,00","181,40","190,20","181,40","10,83K","4,86%"
"28.02.2020","181,20","180,50","181,80","176,43","87,74K","-1,48%"
"27.02.2020","183,93","188,00","188,55","183,93","5,76K","-2,99%"
"26.02.2020","189,60","189,20","191,25","189,20","13,09K","0,93%"
"25.02.2020","187,85","193,60","193,60","187,50","42,71K","-3,22%"
"24.02.2020","194,11","195,70","195,70","193,39","52,72K","-2,46%"
"21.02.2020","199,00","200,05","200,25","198,86","25,83K","-0,01%"
"20.02.2020","199,01","201,00","201,20","199,00","52,58K","-1,24%"
"19.02.2020","201,50","202,60","202,60","201,15","17,69K","-0,25%"
"18.02.2020","202,00","201,80","202,30","201,79","48,78K","-0,98%"
"17.02.2020","204,00","204,00","204,00","204,00","0,03K","0,03%"
"14.02.2020","203,94","204,00","204,00","203,94","0,35K","-1,81%"
"13.02.2020","207,70","208,00","208,00","207,22","0,03K","-1,33%"
"12.02.2020","210,50","204,00","210,75","204,00","6,81K","2,98%"
"11.02.2020","204,41","206,63","206,70","204,41","1,31K","0,00%"
"10.02.2020","204,40","202,04","205,00","200,60","1,92K","1,57%"
"07.02.2020","201,25","202,20","202,50","199,99","2,77K","-1,01%"
"06.02.2020","203,30","210,00","210,00","199,61","21,09K","-5,69%"
"05.02.2020","215,57","216,00","218,21","215,57","1,71K","1,44%"
"04.02.2020","212,50","210,00","213,25","210,00","1,22K","1,67%"
"03.02.2020","209,00","208,55","209,32","208,55","0,55K","1,06%"
"31.01.2020","206,80","207,20","207,20","205,50","1,89K","-1,71%"
"30.01.2020","210,40","210,00","210,40","208,60","1,50K","-1,03%"
"29.01.2020","212,60","213,45","213,45","212,60","0,40K","-0,19%"
"28.01.2020","213,00","213,50","213,50","213,00","1,42K","0,47%"
"27.01.2020","212,00","213,00","213,18","212,00","2,09K","-2,22%"
"24.01.2020","216,82","217,60","218,01","216,77","7,79K","-0,84%"
"23.01.2020","218,66","217,51","218,70","217,51","0,88K","-0,61%"
"22.01.2020","220,00","218,70","220,00","218,70","25,77K","1,05%"
"21.01.2020","217,72","215,75","217,72","215,75","0,53K","0,87%"
"17.01.2020","215,84","213,70","215,84","213,70","0,60K","0,44%"
"16.01.2020","214,90","214,60","217,10","214,60","1,00K","0,80%"
"15.01.2020","213,20","212,00","214,35","212,00","2,88K","1,52%"
"14.01.2020","210,00","209,75","210,00","209,30","0,46K","0,63%"
"13.01.2020","208,69","208,69","208,69","208,69","0,01K","-1,09%"
"10.01.2020","211,00","212,50","212,50","211,00","0,11K","-0,42%"
"09.01.2020","211,90","210,60","211,90","210,60","0,08K","0,55%"
"08.01.2020","210,75","210,40","212,00","210,40","0,66K","0,59%"
"07.01.2020","209,52","214,50","214,50","209,52","0,94K","-2,47%"
"06.01.2020","214,83","215,10","215,10","214,83","0,20K","-1,00%"
"03.01.2020","217,00","217,20","217,20","217,00","0,20K","-0,91%"
"02.01.2020","219,00","214,30","219,00","212,68","31,45K","2,97%"
"31.12.2019","212,68","214,30","214,47","212,68","2,16K","-0,71%"
"30.12.2019","214,20","214,30","214,47","213,65","0,98K","-0,37%"
"27.12.2019","215,00","215,00","216,00","215,00","1,83K","0,11%"
"26.12.2019","214,77","214,39","215,96","214,39","0,55K","-0,11%"
"24.12.2019","215,00","215,00","215,00","215,00","0,01K","0,00%"
"23.12.2019","215,00","213,50","215,40","213,50","2,50K","0,61%"
"20.12.2019","213,70","214,30","215,00","212,85","6,64K","-0,47%"
"19.12.2019","214,70","213,00","214,70","213,00","3,94K","1,51%"
"18.12.2019","211,50","211,50","211,87","210,80","2,47K","0,75%"
"17.12.2019","209,93","210,00","210,30","209,50","0,66K","0,61%"
"16.12.2019","208,65","209,32","209,32","208,53","0,57K","0,68%"
"13.12.2019","207,25","209,98","209,98","207,25","0,67K","-0,48%"
"12.12.2019","208,25","209,00","209,00","208,15","0,35K","1,81%"
