"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","2,610","2,610","2,610","2,600","19,88K","-0,38%"
"21.05.2020","2,620","2,610","2,620","2,600","64,49K","0,38%"
"20.05.2020","2,610","2,600","2,630","2,600","80,56K","0,38%"
"19.05.2020","2,600","2,550","2,600","2,550","140,58K","0,39%"
"18.05.2020","2,590","2,550","2,590","2,550","143,56K","1,57%"
"15.05.2020","2,550","2,580","2,590","2,550","140,22K","-1,16%"
"14.05.2020","2,580","2,600","2,600","2,580","49,00K","0,00%"
"13.05.2020","2,580","2,630","2,630","2,580","225,93K","-1,53%"
"12.05.2020","2,620","2,530","2,620","2,530","3,06M","4,80%"
"11.05.2020","2,500","2,500","2,500","2,490","2,62M","0,00%"
"08.05.2020","2,500","2,520","2,520","2,500","117,09K","2,04%"
"07.05.2020","2,450","2,450","2,460","2,450","1,09M","1,24%"
"06.05.2020","2,420","2,420","2,420","2,420","118,67K","1,26%"
"05.05.2020","2,390","2,400","2,400","2,390","35,57K","0,00%"
"04.05.2020","2,390","2,390","2,390","2,390","65,76K","0,00%"
"30.04.2020","2,390","2,370","2,390","2,370","60,00K","-0,42%"
"29.04.2020","2,400","2,370","2,400","2,370","74,87K","1,69%"
"28.04.2020","2,360","2,360","2,360","2,360","63,76K","0,43%"
"27.04.2020","2,350","2,350","2,350","2,350","5,02K","0,00%"
"24.04.2020","2,350","2,380","2,400","2,350","187,55K","-2,08%"
"23.04.2020","2,400","2,400","2,400","2,400","4,50K","0,00%"
"22.04.2020","2,400","2,420","2,420","2,400","30,00K","0,00%"
"21.04.2020","2,400","2,450","2,450","2,400","130,02K","-2,04%"
"20.04.2020","2,450","2,450","2,450","2,450","93,72K","0,00%"
"17.04.2020","2,450","2,450","2,450","2,450","30,03K","1,24%"
"16.04.2020","2,420","2,420","2,420","2,420","299,57K","0,00%"
"15.04.2020","2,420","2,410","2,420","2,410","107,65K","0,00%"
"14.04.2020","2,420","2,420","2,420","2,420","18,22K","0,00%"
"13.04.2020","2,420","2,380","2,420","2,380","62,00K","0,00%"
"08.04.2020","2,420","2,420","2,420","2,420","85,26K","0,00%"
"07.04.2020","2,420","2,250","2,420","2,250","88,15K","7,56%"
"06.04.2020","2,250","2,270","2,270","2,250","53,98K","-0,88%"
"03.04.2020","2,270","2,300","2,300","2,270","73,76K","-2,16%"
"02.04.2020","2,320","2,320","2,320","2,320","103,18K","0,00%"
"01.04.2020","2,320","2,350","2,350","2,320","137,86K","-1,28%"
"31.03.2020","2,350","2,300","2,350","2,300","42,13K","3,52%"
"30.03.2020","2,270","2,350","2,350","2,270","80,14K","-3,40%"
"27.03.2020","2,350","2,480","2,480","2,350","279,67K","-6,00%"
"26.03.2020","2,500","2,450","2,500","2,450","100,03K","2,04%"
"25.03.2020","2,450","2,340","2,450","2,340","196,52K","4,70%"
"24.03.2020","2,340","2,400","2,450","2,340","3,07M","-2,50%"
"23.03.2020","2,400","2,460","2,460","2,400","125,44K","-4,00%"
"20.03.2020","2,500","2,520","2,520","2,450","286,29K","2,04%"
"19.03.2020","2,450","2,450","2,450","2,400","1,96M","-2,00%"
"18.03.2020","2,500","2,750","2,750","2,500","51,12K","-10,39%"
"17.03.2020","2,790","2,800","2,800","2,790","19,96K","-0,36%"
"16.03.2020","2,800","2,980","2,980","2,800","36,64K","-8,20%"
"13.03.2020","3,050","2,900","3,050","2,900","177,00K","5,17%"
"12.03.2020","2,900","3,080","3,080","2,900","86,65K","-7,94%"
"11.03.2020","3,150","3,200","3,200","3,150","116,08K","-1,56%"
"10.03.2020","3,200","3,200","3,250","3,200","74,98K","0,00%"
"09.03.2020","3,200","3,100","3,200","3,100","20,22K","-1,54%"
"06.03.2020","3,250","3,300","3,300","3,240","153,29K","-1,52%"
"05.03.2020","3,300","3,300","3,300","3,300","71,83K","0,00%"
"04.03.2020","3,300","3,290","3,300","3,290","122,48K","0,30%"
"03.03.2020","3,290","3,300","3,300","3,290","132,66K","-0,30%"
"02.03.2020","3,300","3,300","3,300","3,300","33,60K","0,00%"
"28.02.2020","3,300","3,300","3,300","3,300","13,16K","-1,49%"
"27.02.2020","3,350","3,370","3,370","3,350","167,38K","-0,59%"
"26.02.2020","3,370","3,360","3,370","3,360","11,82K","0,30%"
"25.02.2020","3,360","3,340","3,360","3,340","80,75K","0,00%"
"24.02.2020","3,360","3,380","3,380","3,360","153,79K","-1,47%"
"21.02.2020","3,410","3,410","3,410","3,410","66,18K","0,00%"
"20.02.2020","3,410","3,400","3,410","3,400","123,96K","0,29%"
"19.02.2020","3,400","3,400","3,400","3,400","13,98K","0,00%"
"18.02.2020","3,400","3,400","3,400","3,400","72,19K","0,89%"
"17.02.2020","3,370","3,370","3,370","3,370","3,00K","0,00%"
"14.02.2020","3,370","3,370","3,370","3,370","11,88K","0,60%"
"13.02.2020","3,350","3,350","3,350","3,350","10,43K","0,00%"
"12.02.2020","3,350","3,380","3,390","3,350","111,76K","-1,18%"
"11.02.2020","3,390","3,440","3,440","3,390","334,26K","-1,45%"
"10.02.2020","3,440","3,430","3,440","3,430","39,89K","0,00%"
"07.02.2020","3,440","3,440","3,440","3,440","1,38K","0,00%"
"06.02.2020","3,440","3,450","3,450","3,440","15,40K","-0,29%"
"05.02.2020","3,450","3,370","3,460","3,370","96,19K","2,37%"
"04.02.2020","3,370","3,370","3,380","3,370","118,36K","-0,30%"
"03.02.2020","3,380","3,400","3,400","3,380","343,48K","-0,59%"
"31.01.2020","3,400","3,400","3,400","3,400","136,85K","-1,45%"
"30.01.2020","3,450","3,450","3,450","3,450","7,70K","0,00%"
"29.01.2020","3,450","3,450","3,450","3,420","99,00K","0,00%"
"28.01.2020","3,450","3,420","3,450","3,420","32,00K","0,88%"
"27.01.2020","3,420","3,440","3,440","3,420","146,52K","-0,58%"
"24.01.2020","3,440","3,460","3,490","3,440","89,06K","-0,86%"
"23.01.2020","3,470","3,470","3,470","3,470","5,82K","-0,86%"
"22.01.2020","3,500","3,440","3,500","3,440","267,50K","1,74%"
"21.01.2020","3,440","3,440","3,440","3,440","107,24K","0,00%"
"20.01.2020","3,440","3,430","3,440","3,430","24,00K","0,29%"
"17.01.2020","3,430","3,430","3,430","3,430","9,13K","0,29%"
"16.01.2020","3,420","3,420","3,420","3,420","31,48K","-0,58%"
"15.01.2020","3,440","3,450","3,450","3,430","71,03K","-0,29%"
"14.01.2020","3,450","3,400","3,450","3,400","78,64K","1,47%"
"13.01.2020","3,400","3,450","3,480","3,400","73,92K","-1,45%"
"10.01.2020","3,450","3,450","3,450","3,450","9,82K","0,00%"
"09.01.2020","3,450","3,430","3,450","3,400","175,22K","0,00%"
"08.01.2020","3,450","3,450","3,460","3,450","24,13K","0,88%"
"07.01.2020","3,420","3,450","3,450","3,420","19,07K","-0,87%"
"06.01.2020","3,450","3,520","3,520","3,450","19,83K","0,00%"
"03.01.2020","3,450","3,450","3,460","3,450","15,20K","0,00%"
"02.01.2020","3,450","3,500","3,500","3,390","73,75K","0,58%"
"31.12.2019","3,430","3,500","3,500","3,430","60,70K","-2,00%"
"30.12.2019","3,500","3,500","3,500","3,500","50,07K","0,00%"
"27.12.2019","3,500","3,550","3,550","3,500","39,53K","0,00%"
"26.12.2019","3,500","3,420","3,500","3,420","62,72K","2,34%"
"24.12.2019","3,420","3,750","3,750","3,420","4,55K","0,00%"
"23.12.2019","3,420","3,420","3,420","3,420","75,67K","0,59%"
"20.12.2019","3,400","3,380","3,400","3,380","2,00K","0,59%"
