"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","8,060","8,100","8,500","8,050","33,59K","-2,89%"
"21.05.2020","8,300","8,270","8,300","8,010","4,54K","-0,95%"
"20.05.2020","8,380","8,400","8,500","8,260","16,55K","3,97%"
"19.05.2020","8,060","8,250","8,300","7,900","93,51K","-7,89%"
"18.05.2020","8,750","8,550","9,040","8,550","73,95K","4,79%"
"15.05.2020","8,350","8,200","8,520","8,200","56,54K","5,16%"
"14.05.2020","7,940","8,040","8,090","7,900","55,86K","-1,98%"
"13.05.2020","8,100","8,100","8,210","8,100","6,20K","1,89%"
"12.05.2020","7,950","8,100","8,120","7,900","30,62K","-1,85%"
"11.05.2020","8,100","8,000","8,120","7,930","77,36K","-3,57%"
"08.05.2020","8,400","8,450","8,450","8,350","7,17K","0,60%"
"07.05.2020","8,350","8,110","8,350","8,110","5,27K","5,70%"
"06.05.2020","7,900","8,300","8,300","7,880","31,48K","-5,95%"
"05.05.2020","8,400","8,500","8,550","8,300","20,24K","-0,24%"
"04.05.2020","8,420","7,900","8,600","7,900","75,61K","11,38%"
"30.04.2020","7,560","7,610","7,950","7,500","102,39K","-1,95%"
"29.04.2020","7,710","7,440","7,710","7,320","34,97K","9,67%"
"28.04.2020","7,030","7,100","7,100","6,970","36,22K","-0,85%"
"27.04.2020","7,090","7,240","7,300","7,040","28,04K","-2,88%"
"24.04.2020","7,300","8,020","8,020","7,300","27,13K","-5,44%"
"23.04.2020","7,720","7,800","8,020","7,650","18,49K","2,93%"
"22.04.2020","7,500","7,360","7,600","7,360","29,55K","4,90%"
"21.04.2020","7,150","7,150","7,150","7,150","6,90K","-4,03%"
"20.04.2020","7,450","7,300","7,500","7,300","13,19K","4,93%"
"17.04.2020","7,100","7,010","7,100","7,000","22,14K","-1,93%"
"16.04.2020","7,240","7,250","7,550","7,010","25,03K","0,84%"
"15.04.2020","7,180","7,200","7,280","7,060","43,81K","-6,75%"
"14.04.2020","7,700","8,400","8,400","7,700","10,71K","-1,28%"
"13.04.2020","7,800","7,100","7,860","7,060","17,90K","10,48%"
"08.04.2020","7,060","7,200","7,200","7,050","16,63K","-9,49%"
"07.04.2020","7,800","7,530","7,800","7,500","51,08K","9,70%"
"06.04.2020","7,110","7,230","7,400","7,110","201,77K","2,16%"
"03.04.2020","6,960","7,200","7,220","6,960","5,27K","-2,66%"
"02.04.2020","7,150","7,500","7,500","7,150","33,70K","5,15%"
"01.04.2020","6,800","7,050","7,050","6,800","5,22K","-7,10%"
"31.03.2020","7,320","6,990","7,480","6,990","166,82K","11,76%"
"30.03.2020","6,550","7,200","7,200","6,500","241,27K","-9,03%"
"27.03.2020","7,200","7,800","7,800","7,200","11,41K","-11,11%"
"26.03.2020","8,100","8,910","8,910","8,100","6,85K","-2,41%"
"25.03.2020","8,300","7,500","8,300","7,300","193,73K","8,07%"
"24.03.2020","7,680","7,200","7,680","7,200","182,54K","3,78%"
"23.03.2020","7,400","7,400","7,400","7,400","4,00K","7,71%"
"20.03.2020","6,870","7,560","7,560","6,870","38,93K","-4,85%"
"19.03.2020","7,220","6,000","8,000","5,950","55,80K","3,74%"
"18.03.2020","6,960","7,750","7,750","6,960","9,01K","-10,19%"
"17.03.2020","7,750","6,400","7,800","6,400","88,61K","21,09%"
"16.03.2020","6,400","5,450","6,400","5,450","85,71K","4,92%"
"13.03.2020","6,100","6,840","6,840","6,100","111,89K","-7,58%"
"12.03.2020","6,600","6,830","7,140","6,520","26,19K","-23,08%"
"11.03.2020","8,580","9,050","9,050","8,580","4,63K","-9,21%"
