"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","4,840","4,800","4,840","4,800","4,14K","0,83%"
"21.05.2020","4,800","4,800","4,800","4,800","7,46K","1,05%"
"20.05.2020","4,750","4,750","4,750","4,750","100,72K","-1,04%"
"19.05.2020","4,800","4,750","4,800","4,700","85,14K","0,21%"
"18.05.2020","4,790","4,700","4,800","4,700","10,03K","1,91%"
"15.05.2020","4,700","4,600","4,700","4,590","663,00K","0,00%"
"14.05.2020","4,700","4,700","4,700","4,700","74,29K","0,00%"
"13.05.2020","4,700","4,750","4,750","4,700","76,54K","-2,08%"
"12.05.2020","4,800","4,610","4,800","4,610","118,09K","7,87%"
"11.05.2020","4,450","4,300","4,450","4,300","2,02M","3,49%"
"08.05.2020","4,300","4,250","4,300","4,250","679,84K","1,90%"
"07.05.2020","4,220","4,200","4,240","4,200","1,55M","2,43%"
"06.05.2020","4,120","4,120","4,120","4,100","352,28K","0,00%"
"05.05.2020","4,120","4,050","4,120","4,050","217,82K","3,00%"
"04.05.2020","4,000","4,050","4,050","4,000","62,07K","-1,23%"
"30.04.2020","4,050","4,050","4,100","4,050","209,30K","1,25%"
"29.04.2020","4,000","3,950","4,000","3,950","552,00K","1,27%"
"28.04.2020","3,950","4,000","4,000","3,900","173,09K","-1,25%"
"27.04.2020","4,000","4,150","4,150","4,000","348,68K","-3,61%"
"24.04.2020","4,150","4,150","4,160","4,150","134,85K","0,00%"
"23.04.2020","4,150","4,220","4,220","4,150","148,42K","-1,66%"
"22.04.2020","4,220","4,420","4,500","4,220","625,19K","-4,52%"
"21.04.2020","4,420","4,500","4,500","4,420","220,60K","-1,78%"
"20.04.2020","4,500","4,480","4,500","4,480","105,00K","1,58%"
"17.04.2020","4,430","4,440","4,440","4,430","27,82K","0,00%"
"16.04.2020","4,430","4,430","4,430","4,430","94,37K","0,00%"
"15.04.2020","4,430","4,430","4,430","4,430","394,90K","-1,12%"
"14.04.2020","4,480","4,430","4,480","4,430","55,00K","1,13%"
"13.04.2020","4,430","4,480","4,480","4,430","13,12K","-1,12%"
"08.04.2020","4,480","4,530","4,530","4,480","34,93K","-1,10%"
"07.04.2020","4,530","4,500","4,530","4,500","61,69K","0,00%"
"06.04.2020","4,530","4,450","4,530","4,450","26,40K","-1,31%"
"03.04.2020","4,590","4,700","4,700","4,590","34,83K","-3,37%"
"02.04.2020","4,750","4,750","4,750","4,750","24,93K","0,00%"
"01.04.2020","4,750","4,850","4,850","4,750","51,14K","-1,04%"
"31.03.2020","4,800","4,800","4,800","4,800","12,00K","0,00%"
"30.03.2020","4,800","4,840","4,840","4,800","69,08K","-1,84%"
"27.03.2020","4,890","4,900","4,900","4,850","102,21K","-1,01%"
"26.03.2020","4,940","4,940","4,940","4,940","31,02K","0,00%"
"25.03.2020","4,940","4,900","4,940","4,900","652,45K","-2,56%"
"24.03.2020","5,070","5,070","5,070","5,070","1,98K","1,40%"
"23.03.2020","5,000","5,290","5,290","5,000","50,45K","-5,66%"
"19.03.2020","5,300","5,300","5,300","5,300","4,00K","0,00%"
"18.03.2020","5,300","5,300","5,300","5,300","45,46K","-1,85%"
"17.03.2020","5,400","5,430","5,430","5,400","7,80K","-1,46%"
"16.03.2020","5,480","5,480","5,480","5,480","29,21K","-3,86%"
"13.03.2020","5,700","5,700","5,700","5,500","47,16K","0,00%"
"12.03.2020","5,700","5,820","5,820","5,700","223,31K","-3,39%"
"11.03.2020","5,900","6,000","6,000","5,900","493,66K","-1,67%"
"10.03.2020","6,000","5,900","6,000","5,900","53,06K","3,45%"
"09.03.2020","5,800","5,800","5,800","5,800","4,50K","-3,33%"
"06.03.2020","6,000","6,000","6,000","6,000","53,35K","-1,64%"
"05.03.2020","6,100","6,050","6,100","6,050","78,65K","0,00%"
"04.03.2020","6,100","6,100","6,100","6,100","1,21K","0,00%"
"03.03.2020","6,100","6,150","6,150","6,100","13,03K","-0,81%"
"02.03.2020","6,150","5,850","6,150","5,850","34,48K","5,13%"
"28.02.2020","5,850","5,950","5,950","5,840","46,45K","-1,68%"
"27.02.2020","5,950","6,000","6,000","5,950","126,60K","-0,83%"
"26.02.2020","6,000","6,050","6,100","6,000","52,96K","-0,83%"
"25.02.2020","6,050","6,050","6,050","6,050","29,43K","-0,82%"
"24.02.2020","6,100","6,100","6,100","6,100","20,31K","-0,81%"
"21.02.2020","6,150","6,150","6,150","6,150","1,30K","0,00%"
"20.02.2020","6,150","6,150","6,150","6,120","49,26K","0,00%"
"19.02.2020","6,150","6,150","6,150","6,150","1,63K","0,82%"
"18.02.2020","6,100","6,100","6,100","6,080","107,65K","0,16%"
"17.02.2020","6,090","6,090","6,090","6,090","1,15K","-0,16%"
"14.02.2020","6,100","6,080","6,100","6,080","20,10K","0,16%"
"13.02.2020","6,090","6,150","6,150","6,080","38,97K","-0,98%"
"12.02.2020","6,150","6,200","6,200","6,150","46,70K","-1,13%"
"11.02.2020","6,220","6,220","6,220","6,220","3,83K","-0,32%"
"10.02.2020","6,240","6,200","6,240","6,200","36,00K","1,46%"
"07.02.2020","6,150","6,150","6,150","6,150","0,50K","-0,49%"
"06.02.2020","6,180","6,150","6,180","6,150","5,35K","0,00%"
"05.02.2020","6,180","6,180","6,180","6,180","64,00K","0,49%"
"04.02.2020","6,150","6,100","6,150","6,100","15,55K","0,82%"
"03.02.2020","6,100","6,100","6,150","6,100","500,69K","-0,65%"
"31.01.2020","6,140","6,140","6,140","6,140","11,48K","0,00%"
"30.01.2020","6,140","6,150","6,150","6,140","21,80K","0,00%"
"29.01.2020","6,140","6,080","6,140","6,080","208,43K","0,99%"
"28.01.2020","6,080","6,080","6,080","6,080","15,53K","0,00%"
"27.01.2020","6,080","6,070","6,080","6,070","199,85K","0,16%"
"24.01.2020","6,070","6,120","6,120","6,060","1,06M","-0,82%"
"23.01.2020","6,120","6,130","6,130","6,120","8,31K","0,00%"
"22.01.2020","6,120","6,120","6,120","6,120","79,96K","0,00%"
"21.01.2020","6,120","6,130","6,130","6,120","33,90K","0,16%"
"20.01.2020","6,110","6,110","6,110","6,110","4,78K","0,33%"
"17.01.2020","6,090","6,090","6,090","6,090","4,71K","0,33%"
"16.01.2020","6,070","6,070","6,080","6,060","566,61K","0,00%"
"15.01.2020","6,070","6,060","6,080","6,060","1,68M","0,00%"
"14.01.2020","6,070","6,060","6,070","6,050","643,12K","-0,49%"
"13.01.2020","6,100","6,050","6,100","6,050","770,93K","0,83%"
"10.01.2020","6,050","6,050","6,050","6,050","56,75K","0,00%"
"09.01.2020","6,050","6,050","6,060","6,050","58,02K","0,00%"
"08.01.2020","6,050","6,050","6,050","6,050","2,67K","-0,82%"
"07.01.2020","6,100","6,100","6,100","6,100","7,30K","0,00%"
"06.01.2020","6,100","6,100","6,100","6,100","7,20K","0,33%"
"03.01.2020","6,080","6,080","6,080","6,080","0,79K","-1,14%"
"02.01.2020","6,150","6,120","6,150","6,120","6,71K","0,00%"
"31.12.2019","6,150","6,120","6,150","6,120","6,71K","0,00%"
"30.12.2019","6,150","6,120","6,150","6,120","6,71K","-0,81%"
"27.12.2019","6,200","6,200","6,200","6,200","3,09K","0,00%"
"26.12.2019","6,200","6,280","6,280","6,200","15,07K","-0,80%"
"24.12.2019","6,250","6,250","6,250","6,250","11,82K","0,81%"
"23.12.2019","6,200","6,150","6,200","6,150","26,23K","0,81%"
"20.12.2019","6,150","6,150","6,150","6,150","6,20K","0,16%"
"19.12.2019","6,140","6,110","6,140","6,110","132,56K","0,49%"
"18.12.2019","6,110","6,060","6,110","6,060","82,25K","1,66%"
"17.12.2019","6,010","6,000","6,010","6,000","8,98K","1,01%"
"16.12.2019","5,950","5,950","5,950","5,950","2,00K","-0,83%"
"13.12.2019","6,000","5,850","6,000","5,850","214,00K","2,56%"
"12.12.2019","5,850","5,950","5,950","5,850","49,15K","-2,50%"
"11.12.2019","6,000","6,020","6,020","6,000","332,40K","-0,83%"
"10.12.2019","6,050","6,070","6,070","6,050","262,89K","-0,82%"
"09.12.2019","6,100","6,050","6,100","6,050","3,98K","0,00%"
"06.12.2019","6,100","6,040","6,100","6,040","33,28K","0,99%"
"05.12.2019","6,040","6,040","6,040","5,993","28,22K","0,78%"
"04.12.2019","5,993","5,993","5,993","5,993","40,18K","-0,78%"
"03.12.2019","6,040","6,087","6,087","6,040","94,22K","-0,77%"
"02.12.2019","6,087","6,087","6,087","6,087","10,41K","1,57%"
"29.11.2019","5,993","5,993","5,993","5,993","1,40K","-0,47%"
"28.11.2019","6,021","6,040","6,040","5,974","836,23K","-0,31%"
"27.11.2019","6,040","6,087","6,087","6,021","46,71K","0,00%"
"26.11.2019","6,040","6,087","6,087","6,040","105,03K","-0,77%"
"25.11.2019","6,087","6,182","6,182","6,087","12,50K","-2,28%"
"22.11.2019","6,229","6,229","6,229","6,229","6,34K","0,00%"
"21.11.2019","6,229","6,182","6,229","6,182","20,98K","1,55%"
"20.11.2019","6,134","6,087","6,134","6,087","12,06K","1,56%"
"19.11.2019","6,040","6,040","6,040","6,040","30,13K","0,00%"
"18.11.2019","6,040","6,040","6,040","6,040","9,50K","-0,77%"
"15.11.2019","6,087","6,087","6,087","6,087","5,00K","-0,77%"
"14.11.2019","6,134","6,134","6,134","6,134","26,21K","0,00%"
"13.11.2019","6,134","6,134","6,134","6,134","4,58K","0,00%"
"12.11.2019","6,134","6,087","6,134","5,993","94,56K","0,00%"
"11.11.2019","6,134","6,182","6,182","6,134","567,01K","-0,78%"
"08.11.2019","6,182","6,229","6,229","6,182","316,55K","-0,75%"
"07.11.2019","6,229","6,276","6,276","6,229","156,26K","-0,75%"
"06.11.2019","6,276","6,276","6,276","6,276","2,65K","0,00%"
"05.11.2019","6,276","6,304","6,304","6,229","1,91M","-1,63%"
"31.10.2019","6,380","6,399","6,399","6,380","12,57K","0,00%"
"30.10.2019","6,380","6,399","6,399","6,380","64,84K","0,46%"
"29.10.2019","6,351","6,333","6,351","6,333","14,72K","1,81%"
"28.10.2019","6,238","6,106","6,238","6,106","25,45K","2,48%"
"25.10.2019","6,087","6,087","6,087","6,087","32,67K","0,00%"
"24.10.2019","6,087","6,059","6,134","6,040","99,18K","0,00%"
"23.10.2019","6,087","6,087","6,087","6,087","16,00K","0,31%"
"22.10.2019","6,068","6,068","6,068","6,068","5,00K","0,46%"
"21.10.2019","6,040","6,040","6,040","6,040","1,43M","0,00%"
"18.10.2019","6,040","5,993","6,040","5,993","9,89K","0,00%"
"17.10.2019","6,040","6,040","6,040","6,040","67,97K","0,00%"
"16.10.2019","6,040","6,040","6,040","6,040","27,51K","0,00%"
"15.10.2019","6,040","6,040","6,040","6,040","32,67K","-0,31%"
"14.10.2019","6,059","5,662","6,059","5,662","3,08M","7,91%"
"11.10.2019","5,615","5,615","5,615","5,615","2,63K","0,84%"
"10.10.2019","5,568","5,521","5,568","5,521","74,75K","1,72%"
