"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","1,410","1,410","1,410","1,410","7,29K","-1,40%"
"21.05.2020","1,430","1,430","1,430","1,430","6,30K","-0,69%"
"20.05.2020","1,440","1,440","1,440","1,440","1,57M","2,86%"
"18.05.2020","1,400","1,400","1,400","1,400","12,00K","0,00%"
"13.05.2020","1,400","1,410","1,410","1,400","480,45K","-4,11%"
"12.05.2020","1,460","1,440","1,460","1,440","6,02M","1,39%"
"11.05.2020","1,440","1,440","1,440","1,440","66,81K","2,86%"
"08.05.2020","1,400","1,400","1,400","1,400","7,84K","-1,41%"
"07.05.2020","1,420","1,410","1,430","1,410","37,03K","0,71%"
"06.05.2020","1,410","1,370","1,410","1,370","20,92K","6,02%"
"05.05.2020","1,330","1,330","1,330","1,330","25,00K","2,31%"
"29.04.2020","1,300","1,280","1,300","1,280","14,47K","1,56%"
"28.04.2020","1,280","1,320","1,320","1,280","54,41K","-1,54%"
"27.04.2020","1,300","1,300","1,300","1,300","30,02K","1,56%"
"23.04.2020","1,280","1,230","1,280","1,230","10,01M","0,79%"
"22.04.2020","1,270","1,270","1,270","1,270","75,00K","0,00%"
"21.04.2020","1,270","1,270","1,270","1,270","5,00K","-1,55%"
"20.04.2020","1,290","1,290","1,290","1,290","9,50K","1,57%"
"17.04.2020","1,270","1,250","1,270","1,250","55,00K","3,25%"
"15.04.2020","1,230","1,230","1,230","1,230","20,00K","0,00%"
"08.04.2020","1,230","1,230","1,230","1,230","18,30K","0,00%"
"07.04.2020","1,230","1,230","1,230","1,200","40,04K","2,50%"
"06.04.2020","1,200","1,240","1,240","1,200","51,57K","-2,44%"
"03.04.2020","1,230","1,280","1,280","1,160","3,12M","-6,82%"
"02.04.2020","1,320","1,320","1,320","1,320","10,00K","0,00%"
"01.04.2020","1,320","1,320","1,320","1,320","20,00K","1,54%"
"31.03.2020","1,300","1,320","1,320","1,300","821,88K","0,78%"
"27.03.2020","1,290","1,290","1,290","1,290","26,79K","-0,77%"
"26.03.2020","1,300","1,300","1,300","1,300","78,93K","0,00%"
"25.03.2020","1,300","1,330","1,330","1,300","10,14M","-2,99%"
"24.03.2020","1,340","1,360","1,360","1,340","35,88K","-1,47%"
"19.03.2020","1,360","1,360","1,360","1,360","1,05M","0,00%"
"18.03.2020","1,360","1,360","1,360","1,360","91,60K","0,00%"
"17.03.2020","1,360","1,430","1,430","1,360","54,14K","-8,72%"
"13.03.2020","1,490","1,430","1,490","1,430","101,78K","4,20%"
"12.03.2020","1,430","1,450","1,450","1,430","135,02K","-3,38%"
"11.03.2020","1,480","1,440","1,480","1,440","30,23K","0,00%"
"10.03.2020","1,480","1,480","1,480","1,480","8,66K","4,96%"
"09.03.2020","1,410","1,450","1,450","1,400","114,52K","-2,76%"
"06.03.2020","1,450","1,450","1,450","1,450","2,70K","-3,33%"
"05.03.2020","1,500","1,520","1,520","1,500","61,13K","-1,32%"
"04.03.2020","1,520","1,530","1,530","1,520","8,55K","0,00%"
"03.03.2020","1,520","1,500","1,540","1,500","458,20K","1,33%"
"02.03.2020","1,500","1,490","1,510","1,490","276,66K","1,35%"
"28.02.2020","1,480","1,510","1,510","1,480","12,73M","-2,63%"
"27.02.2020","1,520","1,580","1,580","1,520","634,74K","-3,80%"
"26.02.2020","1,580","1,580","1,580","1,580","13,50K","-1,25%"
"25.02.2020","1,600","1,600","1,600","1,600","43,70K","-0,62%"
"24.02.2020","1,610","1,610","1,610","1,610","8,50K","-1,83%"
"21.02.2020","1,640","1,640","1,640","1,640","10,23K","-1,20%"
"20.02.2020","1,660","1,650","1,660","1,650","155,30K","0,00%"
"19.02.2020","1,660","1,660","1,660","1,650","30,64K","0,00%"
"18.02.2020","1,660","1,650","1,660","1,650","376,47K","0,61%"
"17.02.2020","1,650","1,650","1,650","1,650","63,20K","0,00%"
"14.02.2020","1,650","1,650","1,650","1,650","187,00K","0,00%"
"13.02.2020","1,650","1,650","1,650","1,650","322,78K","0,00%"
"12.02.2020","1,650","1,640","1,650","1,640","171,82K","0,00%"
"11.02.2020","1,650","1,650","1,650","1,650","83,10K","0,00%"
"10.02.2020","1,650","1,650","1,650","1,650","10,06K","0,00%"
"07.02.2020","1,650","1,650","1,650","1,650","21,00K","0,00%"
"06.02.2020","1,650","1,640","1,650","1,640","35,00K","0,00%"
"05.02.2020","1,650","1,650","1,650","1,650","59,46K","0,61%"
"04.02.2020","1,640","1,650","1,650","1,640","130,67K","2,50%"
"03.02.2020","1,600","1,600","1,600","1,600","71,17K","-3,03%"
"31.01.2020","1,650","1,650","1,650","1,650","10,00K","0,61%"
"30.01.2020","1,640","1,660","1,660","1,640","162,21K","-1,20%"
"29.01.2020","1,660","1,660","1,660","1,660","73,24K","-2,35%"
"28.01.2020","1,700","1,700","1,700","1,700","104,77K","0,00%"
"27.01.2020","1,700","1,750","1,750","1,700","413,15K","-3,95%"
"24.01.2020","1,770","1,780","1,800","1,770","350,28K","-1,12%"
"23.01.2020","1,790","1,850","1,850","1,790","493,16K","-3,24%"
"22.01.2020","1,850","1,800","1,850","1,800","254,99K","2,78%"
"21.01.2020","1,800","1,780","1,800","1,780","285,21K","1,12%"
"20.01.2020","1,780","1,660","1,780","1,660","262,00K","7,88%"
"17.01.2020","1,650","1,630","1,650","1,630","8,19K","1,85%"
"16.01.2020","1,620","1,600","1,620","1,600","17,50K","1,25%"
"15.01.2020","1,600","1,600","1,600","1,600","751,23K","0,00%"
"14.01.2020","1,600","1,580","1,600","1,580","121,00K","1,91%"
"13.01.2020","1,570","1,580","1,580","1,570","161,66K","0,00%"
"10.01.2020","1,570","1,570","1,570","1,570","83,00K","0,00%"
"09.01.2020","1,570","1,570","1,570","1,570","8,80K","1,29%"
"08.01.2020","1,550","1,550","1,550","1,550","6,66K","0,00%"
"07.01.2020","1,550","1,550","1,550","1,550","500,00K","0,00%"
"06.01.2020","1,550","1,540","1,560","1,540","2,03M","-0,64%"
"02.01.2020","1,560","1,560","1,560","1,560","3,00K","0,00%"
"31.12.2019","1,560","1,560","1,560","1,560","3,00K","0,00%"
"30.12.2019","1,560","1,560","1,560","1,560","3,00K","0,00%"
"26.12.2019","1,560","1,590","1,590","1,560","45,00K","-1,27%"
"23.12.2019","1,580","1,560","1,580","1,560","94,48K","1,28%"
"19.12.2019","1,560","1,560","1,560","1,560","18,50K","0,00%"
"18.12.2019","1,560","1,560","1,560","1,560","4,00K","-1,27%"
"13.12.2019","1,580","1,580","1,580","1,580","7,40K","0,00%"
"12.12.2019","1,580","1,550","1,580","1,550","74,39K","-1,86%"
"11.12.2019","1,610","1,480","1,610","1,480","661,94K","11,03%"
"10.12.2019","1,450","1,450","1,450","1,450","19,63K","2,11%"
"09.12.2019","1,420","1,420","1,420","1,420","16,00K","0,00%"
"06.12.2019","1,420","1,420","1,420","1,420","236,46K","0,71%"
"05.12.2019","1,410","1,410","1,410","1,410","19,62K","0,00%"
"04.12.2019","1,410","1,420","1,420","1,410","107,81K","-0,70%"
"03.12.2019","1,420","1,440","1,440","1,420","37,89K","-4,05%"
"02.12.2019","1,480","1,480","1,480","1,480","15,00K","2,07%"
"28.11.2019","1,450","1,450","1,450","1,450","2,60K","-2,03%"
"27.11.2019","1,480","1,480","1,480","1,450","312,48K","0,00%"
"26.11.2019","1,480","1,480","1,480","1,480","1,78M","0,00%"
"25.11.2019","1,480","1,480","1,480","1,480","19,60K","0,00%"
"22.11.2019","1,480","1,480","1,480","1,480","10,00K","-1,33%"
"21.11.2019","1,500","1,500","1,500","1,500","7,96K","0,00%"
"20.11.2019","1,500","1,500","1,500","1,500","3,54M","1,35%"
"19.11.2019","1,480","1,480","1,480","1,480","35,33K","0,00%"
"15.11.2019","1,480","1,480","1,480","1,480","7,73K","0,00%"
"14.11.2019","1,480","1,480","1,480","1,480","139,71K","0,00%"
"12.11.2019","1,480","1,480","1,480","1,480","578,33K","0,00%"
"11.11.2019","1,480","1,500","1,500","1,480","164,93K","-0,67%"
"08.11.2019","1,490","1,500","1,500","1,490","569,82K","-2,61%"
"07.11.2019","1,530","1,520","1,530","1,500","433,78K","0,00%"
"06.11.2019","1,530","1,530","1,530","1,530","32,28K","0,00%"
"05.11.2019","1,530","1,530","1,530","1,530","21,64K","2,68%"
"04.11.2019","1,490","1,440","1,490","1,440","78,87K","3,47%"
"30.10.2019","1,440","1,440","1,440","1,440","11,00K","-0,69%"
"29.10.2019","1,450","1,460","1,460","1,450","16,91K","-2,03%"
"28.10.2019","1,480","1,440","1,480","1,440","5,76K","2,78%"
"25.10.2019","1,440","1,440","1,440","1,440","97,45K","0,00%"
"24.10.2019","1,440","1,440","1,440","1,440","306,60K","0,00%"
"23.10.2019","1,440","1,440","1,440","1,440","222,00K","0,00%"
"22.10.2019","1,440","1,440","1,440","1,440","189,44K","0,00%"
"21.10.2019","1,440","1,440","1,440","1,440","119,22K","3,60%"
"16.10.2019","1,390","1,390","1,390","1,390","2,30K","-0,71%"
"15.10.2019","1,400","1,400","1,400","1,400","2,23K","-2,78%"
"11.10.2019","1,440","1,450","1,450","1,440","1,47M","-0,69%"
"10.10.2019","1,450","1,450","1,450","1,450","92,91K","3,57%"
"09.10.2019","1,400","1,400","1,400","1,400","2,70K","-3,45%"
"07.10.2019","1,450","1,450","1,450","1,450","3,60K","-0,68%"
"04.10.2019","1,460","1,460","1,460","1,460","1,40K","2,82%"
"02.10.2019","1,420","1,420","1,420","1,420","4,12K","-2,07%"
"30.09.2019","1,450","1,450","1,450","1,450","4,00K","-2,03%"
"27.09.2019","1,480","1,430","1,500","1,430","243,64K","4,23%"
"26.09.2019","1,420","1,420","1,430","1,420","8,27K","1,43%"
"25.09.2019","1,400","1,400","1,400","1,400","2,50K","-3,45%"
"24.09.2019","1,450","1,450","1,450","1,450","18,00K","0,00%"
"19.09.2019","1,450","1,480","1,480","1,450","353,41K","-2,03%"
"18.09.2019","1,480","1,480","1,480","1,480","341,37K","0,00%"
"17.09.2019","1,480","1,480","1,480","1,480","341,37K","0,00%"
"16.09.2019","1,480","1,480","1,480","1,480","90,00K","0,00%"
"13.09.2019","1,480","1,480","1,480","1,480","7,39K","0,00%"
"12.09.2019","1,480","1,480","1,480","1,480","22,40K","0,00%"
"11.09.2019","1,480","1,480","1,480","1,480","15,68K","0,00%"
"10.09.2019","1,480","1,480","1,480","1,480","94,52K","0,00%"
"09.09.2019","1,480","1,480","1,480","1,480","116,65K","0,00%"
"06.09.2019","1,480","1,480","1,480","1,480","231,64K","0,00%"
"05.09.2019","1,480","1,480","1,500","1,480","21,39K","2,07%"
"04.09.2019","1,450","1,430","1,450","1,430","246,34K","0,00%"
"03.09.2019","1,450","1,450","1,450","1,410","18,70K","0,69%"
"02.09.2019","1,440","1,440","1,440","1,440","0,62K","-0,69%"
"28.08.2019","1,450","1,450","1,450","1,450","6,81K","1,40%"
"27.08.2019","1,430","1,440","1,440","1,430","947,85K","-1,38%"
"26.08.2019","1,450","1,470","1,470","1,450","21,70K","-1,36%"
"23.08.2019","1,470","1,500","1,500","1,470","12,00K","-3,92%"
"16.08.2019","1,530","1,520","1,530","1,520","31,53K","-0,65%"
"14.08.2019","1,540","1,540","1,540","1,530","99,13K","0,00%"
"13.08.2019","1,540","1,540","1,540","1,540","3,50K","-0,65%"
"12.08.2019","1,550","1,550","1,550","1,550","5,13K","0,00%"
"09.08.2019","1,550","1,550","1,550","1,550","2,50K","0,00%"
"08.08.2019","1,550","1,500","1,550","1,500","305,37K","3,33%"
"07.08.2019","1,500","1,490","1,500","1,490","47,35K","0,00%"
"06.08.2019","1,500","1,500","1,500","1,500","61,30K","-3,23%"
"05.08.2019","1,550","1,550","1,550","1,550","84,56K","0,00%"
"02.08.2019","1,550","1,550","1,550","1,540","83,67K","0,00%"
"01.08.2019","1,550","1,570","1,570","1,550","8,23K","-4,32%"
"30.07.2019","1,620","1,650","1,650","1,620","108,95K","-4,14%"
"25.07.2019","1,690","1,690","1,690","1,690","9,50K","-0,59%"
"22.07.2019","1,700","1,680","1,700","1,680","422,11K","3,03%"
"19.07.2019","1,650","1,650","1,650","1,650","121,03K","3,12%"
"18.07.2019","1,600","1,600","1,600","1,600","8,81K","0,00%"
"17.07.2019","1,600","1,600","1,600","1,600","10,00K","0,00%"
"16.07.2019","1,600","1,600","1,600","1,600","7,89K","-0,62%"
"15.07.2019","1,610","1,590","1,610","1,590","41,50K","1,26%"
"12.07.2019","1,590","1,650","1,650","1,590","144,61K","0,00%"
"11.07.2019","1,590","1,640","1,640","1,590","124,62K","-0,62%"
"10.07.2019","1,600","1,600","1,600","1,600","110,00K","-3,03%"
"09.07.2019","1,650","1,650","1,650","1,650","52,45K","0,61%"
"08.07.2019","1,640","1,640","1,640","1,640","17,70K","-0,61%"
"05.07.2019","1,650","1,650","1,650","1,650","63,81K","0,00%"
"04.07.2019","1,650","1,700","1,700","1,650","64,11K","-1,79%"
"03.07.2019","1,680","1,680","1,680","1,670","51,34K","0,60%"
"02.07.2019","1,670","1,680","1,690","1,670","223,20K","-1,76%"
"01.07.2019","1,700","1,680","1,700","1,680","22,87K","0,00%"
"28.06.2019","1,700","1,700","1,700","1,700","19,03K","-1,16%"
"27.06.2019","1,720","1,680","1,720","1,680","1,04M","2,38%"
"26.06.2019","1,680","1,680","1,680","1,680","109,60K","0,00%"
"25.06.2019","1,680","1,670","1,680","1,670","151,52K","0,60%"
"24.06.2019","1,670","1,660","1,670","1,660","164,36K","0,60%"
"21.06.2019","1,660","1,660","1,660","1,660","20,00K","0,61%"
"20.06.2019","1,650","1,650","1,650","1,650","91,60K","0,00%"
"19.06.2019","1,650","1,650","1,650","1,650","41,38K","0,00%"
