"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","1,800","1,800","1,800","1,800","10,00K","2,86%"
"21.05.2020","1,750","1,780","1,780","1,750","12,00K","-1,69%"
"20.05.2020","1,780","1,780","1,790","1,780","500,53K","-4,30%"
"19.05.2020","1,860","1,860","1,860","1,860","25,65K","4,49%"
"15.05.2020","1,780","1,780","1,780","1,780","125,00K","-1,11%"
"14.05.2020","1,800","1,840","1,840","1,800","20,07K","-2,17%"
"13.05.2020","1,840","1,880","1,880","1,830","271,63K","-2,13%"
"12.05.2020","1,880","1,920","1,920","1,880","86,19K","-2,08%"
"11.05.2020","1,920","1,920","1,930","1,900","163,06K","1,05%"
"08.05.2020","1,900","1,900","1,900","1,900","3,64K","0,00%"
"07.05.2020","1,900","1,930","1,930","1,900","38,50K","0,00%"
"05.05.2020","1,900","1,900","1,900","1,900","17,89K","0,00%"
"04.05.2020","1,900","1,900","1,900","1,900","0,11K","2,70%"
"27.04.2020","1,850","1,850","1,850","1,850","100,00K","-2,63%"
"24.04.2020","1,900","1,900","1,900","1,900","100,00K","-2,56%"
"23.04.2020","1,950","1,950","1,950","1,950","100,00K","-2,50%"
"08.04.2020","2,000","2,000","2,000","2,000","358,00K","-4,76%"
"03.04.2020","2,100","2,100","2,100","2,100","100,00K","-2,33%"
"02.04.2020","2,150","2,150","2,150","2,150","23,00K","-2,27%"
"26.03.2020","2,200","2,200","2,200","2,200","12,59K","0,00%"
"25.03.2020","2,200","2,200","2,200","2,200","18,50K","0,00%"
"24.03.2020","2,200","2,200","2,200","2,200","6,71K","0,00%"
"20.03.2020","2,200","2,200","2,200","2,200","3,50K","0,00%"
"19.03.2020","2,200","2,200","2,200","2,200","1,00K","0,00%"
"18.03.2020","2,200","2,210","2,210","2,200","9,50K","-15,38%"
"13.03.2020","2,600","2,600","2,600","2,600","68,28K","0,00%"
"12.03.2020","2,600","2,600","2,600","2,600","4,20K","-9,72%"
"11.03.2020","2,880","2,880","2,880","2,880","9,66K","-4,00%"
"10.03.2020","3,000","3,000","3,000","3,000","20,00K","0,00%"
"09.03.2020","3,000","3,000","3,000","3,000","25,42K","-6,25%"
"28.02.2020","3,200","3,200","3,200","3,180","5,50K","-1,54%"
"27.02.2020","3,250","3,340","3,340","3,250","7,50K","-2,99%"
"25.02.2020","3,350","3,350","3,350","3,350","1,50K","-2,05%"
"21.02.2020","3,420","3,430","3,430","3,420","6,18K","-0,29%"
"20.02.2020","3,430","3,430","3,430","3,430","36,85K","-2,00%"
"12.02.2020","3,500","3,500","3,500","3,500","1,54K","0,00%"
"11.02.2020","3,500","3,500","3,500","3,500","5,64K","0,00%"
"04.02.2020","3,500","3,400","3,500","3,400","27,85K","2,94%"
"03.02.2020","3,400","3,400","3,400","3,400","5,89K","0,00%"
"30.01.2020","3,400","3,400","3,400","3,400","1,70K","-2,86%"
"29.01.2020","3,500","3,500","3,500","3,500","172,00K","-0,57%"
"27.01.2020","3,520","3,520","3,520","3,520","1,50K","-0,28%"
"24.01.2020","3,530","3,530","3,530","3,530","33,67K","-0,56%"
"22.01.2020","3,550","3,550","3,550","3,550","105,09K","-1,39%"
"21.01.2020","3,600","3,600","3,600","3,600","4,00K","0,00%"
"20.01.2020","3,600","3,500","3,600","3,500","10,12K","5,26%"
"16.01.2020","3,420","3,380","3,420","3,380","30,34K","1,18%"
"15.01.2020","3,380","3,400","3,400","3,380","307,90K","-2,03%"
"13.01.2020","3,450","3,450","3,450","3,450","3,00K","0,00%"
"10.01.2020","3,450","3,500","3,500","3,450","13,01K","0,00%"
"09.01.2020","3,450","3,450","3,450","3,450","1,70K","0,00%"
"08.01.2020","3,450","3,450","3,450","3,450","15,48K","0,00%"
"26.12.2019","3,450","3,450","3,450","3,450","55,16K","1,47%"
"23.12.2019","3,400","3,400","3,400","3,400","2,10K","0,00%"
"20.12.2019","3,400","3,400","3,400","3,400","14,03K","0,00%"
"19.12.2019","3,400","3,400","3,400","3,400","103,18K","0,00%"
"18.12.2019","3,400","3,400","3,400","3,400","17,00K","-1,45%"
"17.12.2019","3,450","3,450","3,450","3,450","4,00K","1,47%"
"16.12.2019","3,400","3,400","3,400","3,400","26,30K","0,00%"
"13.12.2019","3,400","3,400","3,400","3,400","137,34K","4,29%"
"11.12.2019","3,260","3,200","3,260","3,200","44,01K","3,49%"
"04.12.2019","3,150","3,150","3,150","3,150","10,03K","0,00%"
"03.12.2019","3,150","3,150","3,150","3,150","5,25K","-2,17%"
"02.12.2019","3,220","3,220","3,220","3,220","0,46K","0,00%"
"27.11.2019","3,220","3,240","3,240","3,220","61,73K","-0,92%"
"26.11.2019","3,250","3,250","3,250","3,250","22,21K","-0,31%"
"25.11.2019","3,260","3,260","3,260","3,260","3,07K","0,00%"
"21.11.2019","3,260","3,260","3,260","3,260","10,00K","-1,21%"
"20.11.2019","3,300","3,300","3,300","3,300","30,00K","0,00%"
"19.11.2019","3,300","3,370","3,370","3,300","15,25K","-2,94%"
"12.11.2019","3,400","3,400","3,400","3,400","6,00K","0,00%"
"08.11.2019","3,400","3,450","3,450","3,400","20,00K","-1,45%"
"07.11.2019","3,450","3,450","3,450","3,450","104,06K","0,00%"
"06.11.2019","3,450","3,450","3,450","3,450","40,00K","0,88%"
"05.11.2019","3,420","3,300","3,420","3,300","4,15M","-2,29%"
"04.11.2019","3,500","3,500","3,500","3,500","3,00K","-1,41%"
"30.10.2019","3,550","3,550","3,550","3,550","200,00K","-0,84%"
"29.10.2019","3,580","3,580","3,580","3,550","50,85K","0,00%"
"24.10.2019","3,580","3,580","3,580","3,580","50,00K","2,29%"
"22.10.2019","3,500","3,500","3,500","3,500","41,46K","0,00%"
"21.10.2019","3,500","3,500","3,500","3,500","66,96K","2,94%"
"14.10.2019","3,400","3,300","3,400","3,300","76,58K","3,66%"
"11.10.2019","3,280","3,280","3,280","3,280","5,00K","0,00%"
"07.10.2019","3,280","3,280","3,280","3,280","5,43K","0,00%"
"27.09.2019","3,280","3,280","3,280","3,280","5,00K","0,00%"
"26.09.2019","3,280","3,280","3,280","3,280","4,00K","0,00%"
"24.09.2019","3,280","3,280","3,280","3,280","16,48K","0,00%"
"20.09.2019","3,280","3,280","3,280","3,280","7,00K","0,00%"
"19.09.2019","3,280","3,280","3,280","3,280","36,20K","0,00%"
"18.09.2019","3,280","3,280","3,280","3,280","21,00K","-0,61%"
"13.09.2019","3,300","3,300","3,300","3,300","6,03K","-1,49%"
"12.09.2019","3,350","3,350","3,350","3,350","4,70K","1,21%"
"11.09.2019","3,310","3,350","3,350","3,300","73,15K","-1,19%"
"06.09.2019","3,350","3,350","3,350","3,350","27,60K","0,00%"
"05.09.2019","3,350","3,200","3,350","3,200","5,58K","8,06%"
"20.08.2019","3,100","3,100","3,100","3,100","1,67K","0,00%"
"19.08.2019","3,100","3,100","3,100","3,100","1,93K","0,98%"
"16.08.2019","3,070","3,100","3,100","3,070","238,41K","-0,65%"
