"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","0,069","0,068","0,069","0,068","917,15K","-1,43%"
"21.05.2020","0,070","0,070","0,070","0,070","672,39K","2,94%"
"20.05.2020","0,068","0,068","0,068","0,068","157,90K","0,00%"
"19.05.2020","0,068","0,070","0,070","0,068","961,53K","-2,86%"
"18.05.2020","0,070","0,072","0,072","0,070","899,98K","1,45%"
"15.05.2020","0,069","0,069","0,069","0,069","105,51K","1,47%"
"14.05.2020","0,068","0,068","0,068","0,068","157,75K","1,49%"
"13.05.2020","0,067","0,070","0,070","0,067","1,68M","-6,94%"
"12.05.2020","0,072","0,073","0,073","0,070","848,60K","2,86%"
"11.05.2020","0,070","0,071","0,071","0,070","1,02M","2,94%"
"08.05.2020","0,068","0,067","0,068","0,066","1,59M","1,49%"
"07.05.2020","0,067","0,070","0,070","0,064","2,43M","-4,29%"
"06.05.2020","0,070","0,070","0,070","0,069","989,50K","7,69%"
"05.05.2020","0,065","0,065","0,065","0,065","106,86K","8,33%"
"30.04.2020","0,060","0,060","0,060","0,060","31,43K","-4,76%"
"29.04.2020","0,063","0,057","0,063","0,057","1,50M","10,53%"
"28.04.2020","0,057","0,057","0,057","0,057","421,44K","0,00%"
"27.04.2020","0,057","0,056","0,057","0,056","330,80K","0,00%"
"24.04.2020","0,057","0,060","0,060","0,057","1,35M","-8,06%"
"22.04.2020","0,062","0,060","0,062","0,060","159,09K","5,08%"
"21.04.2020","0,059","0,059","0,059","0,059","561,09K","-1,67%"
"20.04.2020","0,060","0,067","0,067","0,060","638,99K","-10,45%"
"17.04.2020","0,067","0,069","0,070","0,067","1,61M","0,00%"
"16.04.2020","0,067","0,066","0,067","0,066","426,73K","8,06%"
"15.04.2020","0,062","0,060","0,062","0,060","332,00K","8,77%"
"14.04.2020","0,057","0,057","0,057","0,057","169,63K","5,56%"
"13.04.2020","0,054","0,054","0,054","0,054","700,00K","0,00%"
"08.04.2020","0,054","0,053","0,054","0,053","802,57K","1,89%"
"07.04.2020","0,053","0,051","0,053","0,051","1,45M","3,92%"
"06.04.2020","0,051","0,050","0,051","0,050","9,44M","0,00%"
"03.04.2020","0,051","0,053","0,053","0,051","1,67M","-7,27%"
"02.04.2020","0,055","0,053","0,055","0,053","1,94M","3,77%"
"01.04.2020","0,053","0,053","0,054","0,052","2,22M","0,00%"
"31.03.2020","0,053","0,054","0,054","0,053","2,99M","-1,85%"
"30.03.2020","0,054","0,053","0,055","0,053","1,29M","-3,57%"
"27.03.2020","0,056","0,055","0,056","0,049","4,77M","-6,67%"
"26.03.2020","0,060","0,060","0,060","0,060","144,50K","3,45%"
"25.03.2020","0,058","0,060","0,060","0,056","3,22M","-3,33%"
"24.03.2020","0,060","0,060","0,060","0,060","5,40M","0,00%"
"23.03.2020","0,060","0,060","0,060","0,060","2,02M","-1,64%"
"20.03.2020","0,061","0,074","0,074","0,061","1,02M","-15,28%"
"19.03.2020","0,072","0,072","0,072","0,072","11,40K","5,88%"
"18.03.2020","0,068","0,068","0,068","0,068","424,72K","-11,69%"
"17.03.2020","0,077","0,077","0,077","0,077","150,00K","-1,28%"
"13.03.2020","0,078","0,080","0,080","0,078","305,50K","-2,50%"
"11.03.2020","0,080","0,080","0,080","0,080","61,29K","1,27%"
"10.03.2020","0,079","0,080","0,080","0,078","1,45M","3,95%"
"09.03.2020","0,076","0,076","0,076","0,076","485,78K","-5,00%"
"06.03.2020","0,080","0,085","0,085","0,078","5,26M","-9,09%"
"05.03.2020","0,088","0,089","0,089","0,088","1,64M","-2,22%"
"04.03.2020","0,090","0,091","0,091","0,090","255,00K","2,27%"
"03.03.2020","0,088","0,092","0,092","0,088","1,30M","0,00%"
"02.03.2020","0,088","0,085","0,089","0,085","1,07M","3,53%"
"28.02.2020","0,085","0,083","0,085","0,083","1,84M","2,41%"
"27.02.2020","0,083","0,090","0,090","0,083","8,41M","-12,63%"
"26.02.2020","0,095","0,098","0,098","0,095","441,50K","-2,06%"
"25.02.2020","0,097","0,100","0,100","0,097","1,14M","-2,02%"
"24.02.2020","0,099","0,100","0,100","0,099","330,00K","-3,88%"
"21.02.2020","0,103","0,105","0,105","0,103","119,45K","-1,90%"
"20.02.2020","0,105","0,108","0,108","0,105","891,15K","-2,78%"
"19.02.2020","0,108","0,103","0,108","0,103","1,30M","4,85%"
"18.02.2020","0,103","0,103","0,103","0,103","94,77K","0,00%"
"17.02.2020","0,103","0,103","0,103","0,103","340,00K","0,00%"
"14.02.2020","0,103","0,100","0,103","0,100","2,08M","-3,74%"
"12.02.2020","0,107","0,110","0,110","0,107","872,75K","-6,96%"
"11.02.2020","0,115","0,115","0,115","0,115","50,07K","0,00%"
"10.02.2020","0,115","0,115","0,115","0,115","70,00K","0,00%"
"07.02.2020","0,115","0,115","0,115","0,115","2,50K","0,00%"
"06.02.2020","0,115","0,115","0,115","0,115","593,00K","0,00%"
"05.02.2020","0,115","0,119","0,119","0,115","1,19M","0,00%"
"04.02.2020","0,115","0,111","0,115","0,111","1,88M","4,55%"
"03.02.2020","0,110","0,108","0,110","0,108","210,55K","-7,56%"
"28.01.2020","0,119","0,119","0,119","0,119","570,00K","0,00%"
"27.01.2020","0,119","0,119","0,119","0,119","810,22K","-0,83%"
"24.01.2020","0,120","0,120","0,120","0,120","171,30K","-2,44%"
"23.01.2020","0,123","0,123","0,123","0,123","104,00K","0,00%"
"22.01.2020","0,123","0,123","0,123","0,123","1,14M","0,00%"
"21.01.2020","0,123","0,123","0,123","0,123","142,00K","0,00%"
"20.01.2020","0,123","0,124","0,126","0,123","1,83M","-1,60%"
"17.01.2020","0,125","0,125","0,125","0,125","1,04M","4,17%"
"16.01.2020","0,120","0,120","0,120","0,120","99,00K","0,00%"
"15.01.2020","0,120","0,121","0,121","0,120","766,00K","-4,00%"
"14.01.2020","0,125","0,125","0,126","0,125","1,03M","2,46%"
"13.01.2020","0,122","0,121","0,122","0,121","505,11K","4,27%"
"10.01.2020","0,117","0,119","0,119","0,115","2,88M","-1,68%"
"09.01.2020","0,119","0,120","0,120","0,119","480,39K","-1,65%"
"08.01.2020","0,121","0,124","0,124","0,121","849,50K","-3,97%"
"07.01.2020","0,126","0,121","0,127","0,121","1,25M","1,61%"
"06.01.2020","0,124","0,128","0,130","0,124","5,46M","-3,13%"
"03.01.2020","0,128","0,123","0,130","0,123","4,53M","5,79%"
"02.01.2020","0,121","0,110","0,125","0,107","7,31M","-1,63%"
"31.12.2019","0,123","0,110","0,125","0,107","6,76M","1,65%"
"30.12.2019","0,121","0,110","0,121","0,107","6,50M","14,15%"
"27.12.2019","0,106","0,102","0,106","0,102","2,33M","4,95%"
"26.12.2019","0,101","0,099","0,102","0,099","2,45M","2,02%"
"24.12.2019","0,099","0,099","0,099","0,099","423,72K","-1,00%"
"23.12.2019","0,100","0,100","0,102","0,100","732,89K","0,00%"
"20.12.2019","0,100","0,100","0,101","0,099","1,88M","0,00%"
"19.12.2019","0,100","0,099","0,100","0,099","283,80K","0,00%"
"18.12.2019","0,100","0,100","0,100","0,099","1,77M","4,17%"
"17.12.2019","0,096","0,100","0,100","0,095","714,67K","-4,00%"
"16.12.2019","0,100","0,101","0,101","0,100","418,63K","0,00%"
"13.12.2019","0,100","0,101","0,101","0,100","321,57K","-0,99%"
"12.12.2019","0,101","0,100","0,102","0,100","479,33K","3,06%"
"11.12.2019","0,098","0,098","0,098","0,098","689,16K","0,00%"
"10.12.2019","0,098","0,097","0,098","0,097","1,09M","3,16%"
"09.12.2019","0,095","0,095","0,095","0,095","115,00K","3,26%"
"06.12.2019","0,092","0,092","0,092","0,092","271,13K","1,10%"
"05.12.2019","0,091","0,091","0,091","0,091","431,35K","-2,15%"
"04.12.2019","0,093","0,092","0,093","0,092","742,05K","-1,06%"
"03.12.2019","0,094","0,094","0,094","0,094","510,05K","-1,05%"
"02.12.2019","0,095","0,095","0,095","0,095","97,14K","0,00%"
"29.11.2019","0,095","0,095","0,095","0,095","296,45K","0,00%"
"28.11.2019","0,095","0,095","0,095","0,095","251,60K","0,00%"
"27.11.2019","0,095","0,094","0,095","0,092","916,04K","3,26%"
"26.11.2019","0,092","0,098","0,098","0,092","2,06M","-6,12%"
"25.11.2019","0,098","0,098","0,098","0,098","225,00K","0,00%"
"22.11.2019","0,098","0,100","0,100","0,098","200,00K","-2,00%"
"21.11.2019","0,100","0,100","0,100","0,100","401,19K","0,00%"
"20.11.2019","0,100","0,100","0,100","0,100","542,83K","-1,96%"
"19.11.2019","0,102","0,099","0,102","0,099","903,40K","3,03%"
"18.11.2019","0,099","0,097","0,099","0,097","166,51K","2,06%"
"15.11.2019","0,097","0,097","0,097","0,097","118,60K","1,04%"
"14.11.2019","0,096","0,095","0,096","0,095","1,36M","0,00%"
"13.11.2019","0,096","0,095","0,096","0,095","590,58K","3,23%"
"12.11.2019","0,093","0,093","0,093","0,090","1,83M","-3,12%"
"11.11.2019","0,096","0,100","0,100","0,095","830,08K","-4,00%"
"08.11.2019","0,100","0,101","0,101","0,100","4,08M","-0,99%"
"07.11.2019","0,101","0,100","0,101","0,100","3,59M","1,00%"
"06.11.2019","0,100","0,100","0,102","0,100","892,65K","0,00%"
"05.11.2019","0,100","0,100","0,100","0,100","196,11K","0,00%"
"04.11.2019","0,100","0,100","0,107","0,100","15,65M","2,04%"
"31.10.2019","0,098","0,095","0,098","0,095","12,15M","3,16%"
"30.10.2019","0,095","0,095","0,095","0,095","543,39K","-5,00%"
"29.10.2019","0,100","0,098","0,100","0,098","187,50K","0,00%"
"28.10.2019","0,100","0,100","0,100","0,100","200,44K","0,00%"
"25.10.2019","0,100","0,100","0,100","0,100","679,29K","-0,99%"
"24.10.2019","0,101","0,101","0,101","0,100","1,61M","-1,94%"
"23.10.2019","0,103","0,103","0,103","0,103","115,60K","-1,90%"
"22.10.2019","0,105","0,103","0,105","0,103","145,00K","1,94%"
"21.10.2019","0,103","0,104","0,104","0,103","439,04K","-6,36%"
"18.10.2019","0,110","0,110","0,110","0,110","473,58K","1,85%"
"17.10.2019","0,108","0,108","0,108","0,108","54,09K","0,00%"
"16.10.2019","0,108","0,108","0,110","0,108","268,81K","0,00%"
"15.10.2019","0,108","0,108","0,108","0,108","50,00K","0,00%"
"14.10.2019","0,108","0,108","0,108","0,108","59,92K","0,93%"
"11.10.2019","0,107","0,107","0,107","0,107","518,58K","-0,93%"
"10.10.2019","0,108","0,108","0,108","0,108","90,72K","-1,82%"
"09.10.2019","0,110","0,109","0,110","0,109","119,30K","1,85%"
"07.10.2019","0,108","0,108","0,108","0,108","78,10K","2,86%"
"04.10.2019","0,105","0,105","0,105","0,105","108,75K","0,00%"
"03.10.2019","0,105","0,105","0,105","0,105","107,99K","0,96%"
"02.10.2019","0,104","0,104","0,104","0,104","47,39K","0,00%"
"01.10.2019","0,104","0,105","0,105","0,104","628,46K","-5,45%"
"30.09.2019","0,110","0,110","0,110","0,110","54,85K","0,00%"
"27.09.2019","0,110","0,105","0,110","0,105","913,58K","4,76%"
"26.09.2019","0,105","0,105","0,105","0,105","70,01K","0,00%"
"25.09.2019","0,105","0,106","0,106","0,105","435,69K","0,00%"
"24.09.2019","0,105","0,105","0,105","0,105","78,68K","-2,78%"
"23.09.2019","0,108","0,110","0,110","0,108","275,65K","-5,26%"
"20.09.2019","0,114","0,114","0,114","0,114","61,23K","0,00%"
"19.09.2019","0,114","0,112","0,115","0,112","1,30M","0,00%"
"18.09.2019","0,114","0,112","0,115","0,112","1,02M","0,00%"
"17.09.2019","0,114","0,112","0,115","0,112","863,76K","1,79%"
"16.09.2019","0,112","0,112","0,112","0,112","402,53K","1,82%"
"13.09.2019","0,110","0,110","0,111","0,110","879,20K","3,77%"
"12.09.2019","0,106","0,106","0,106","0,106","95,38K","0,00%"
"11.09.2019","0,106","0,106","0,106","0,106","132,67K","1,92%"
"10.09.2019","0,104","0,104","0,104","0,104","52,63K","0,00%"
"09.09.2019","0,104","0,106","0,106","0,104","429,54K","-0,95%"
"06.09.2019","0,105","0,110","0,110","0,105","961,94K","-4,55%"
"05.09.2019","0,110","0,110","0,110","0,110","697,27K","2,80%"
"04.09.2019","0,107","0,106","0,107","0,106","366,89K","0,94%"
"03.09.2019","0,106","0,106","0,106","0,106","128,00K","-1,85%"
"02.09.2019","0,108","0,108","0,108","0,108","95,96K","0,00%"
"29.08.2019","0,108","0,105","0,108","0,105","160,57K","2,86%"
"28.08.2019","0,105","0,105","0,105","0,105","103,22K","0,00%"
"27.08.2019","0,105","0,105","0,105","0,105","280,78K","0,96%"
"26.08.2019","0,104","0,104","0,104","0,104","67,68K","0,00%"
"23.08.2019","0,104","0,104","0,104","0,104","354,86K","0,00%"
"22.08.2019","0,104","0,104","0,104","0,104","733,75K","0,00%"
"21.08.2019","0,104","0,104","0,104","0,104","76,02K","0,00%"
"20.08.2019","0,104","0,105","0,105","0,103","5,03M","-0,95%"
"19.08.2019","0,105","0,106","0,106","0,105","873,40K","-0,94%"
"16.08.2019","0,106","0,106","0,106","0,106","193,95K","-1,85%"
"15.08.2019","0,108","0,108","0,108","0,108","265,56K","-1,82%"
"14.08.2019","0,110","0,110","0,110","0,110","160,00K","0,00%"
"13.08.2019","0,110","0,112","0,112","0,110","215,50K","-1,79%"
"12.08.2019","0,112","0,112","0,112","0,112","40,00K","0,00%"
"09.08.2019","0,112","0,112","0,112","0,112","44,74K","2,75%"
"08.08.2019","0,109","0,109","0,109","0,109","55,02K","1,87%"
"07.08.2019","0,107","0,107","0,107","0,106","1,46M","-0,93%"
"06.08.2019","0,108","0,109","0,109","0,108","360,20K","-1,82%"
"05.08.2019","0,110","0,113","0,113","0,110","117,10K","-3,51%"
"02.08.2019","0,114","0,114","0,114","0,114","47,36K","0,00%"
"01.08.2019","0,114","0,114","0,114","0,114","53,13K","3,64%"
