"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","1,340","1,350","1,350","1,340","218,83K","-2,19%"
"21.05.2020","1,370","1,380","1,380","1,370","13,24M","-2,14%"
"20.05.2020","1,400","1,400","1,400","1,400","36,17K","0,72%"
"19.05.2020","1,390","1,340","1,390","1,340","200,80K","3,73%"
"18.05.2020","1,340","1,300","1,370","1,300","217,68K","3,08%"
"15.05.2020","1,300","1,300","1,340","1,300","403,28K","0,00%"
"14.05.2020","1,300","1,300","1,300","1,280","132,90K","-3,70%"
"13.05.2020","1,350","1,370","1,370","1,350","779,36K","-1,46%"
"12.05.2020","1,370","1,350","1,380","1,350","354,96K","5,38%"
"11.05.2020","1,300","1,300","1,330","1,300","803,30K","4,00%"
"08.05.2020","1,250","1,240","1,250","1,240","2,65M","0,81%"
"07.05.2020","1,240","1,250","1,250","1,220","9,19M","1,64%"
"06.05.2020","1,220","1,210","1,240","1,200","1,34M","1,67%"
"05.05.2020","1,200","1,180","1,200","1,180","3,95M","1,69%"
"04.05.2020","1,180","1,150","1,180","1,150","49,20K","2,61%"
"30.04.2020","1,150","1,150","1,150","1,150","99,00K","0,00%"
"29.04.2020","1,150","1,140","1,150","1,140","1,02M","0,88%"
"28.04.2020","1,140","1,150","1,150","1,130","423,49K","-0,87%"
"27.04.2020","1,150","1,150","1,150","1,150","149,62K","-2,54%"
"24.04.2020","1,180","1,280","1,280","1,180","311,53K","-7,81%"
"23.04.2020","1,280","1,300","1,300","1,250","82,07K","-1,54%"
"21.04.2020","1,300","1,310","1,350","1,300","213,09K","-3,70%"
"17.04.2020","1,350","1,350","1,350","1,350","90,10K","0,00%"
"16.04.2020","1,350","1,350","1,400","1,350","220,92K","0,00%"
"15.04.2020","1,350","1,310","1,350","1,300","99,20K","3,85%"
"14.04.2020","1,300","1,300","1,300","1,300","260,00K","3,17%"
"13.04.2020","1,260","1,260","1,260","1,260","25,80K","0,00%"
"08.04.2020","1,260","1,260","1,260","1,260","76,44K","-0,79%"
"07.04.2020","1,270","1,270","1,270","1,270","107,90K","0,00%"
"06.04.2020","1,270","1,270","1,270","1,270","130,84K","0,00%"
"03.04.2020","1,270","1,320","1,320","1,270","122,84K","-3,79%"
"02.04.2020","1,320","1,320","1,320","1,320","425,43K","0,00%"
"01.04.2020","1,320","1,350","1,350","1,320","508,60K","-2,22%"
"31.03.2020","1,350","1,360","1,360","1,350","430,00K","3,05%"
"30.03.2020","1,310","1,380","1,380","1,310","2,03M","-6,43%"
"27.03.2020","1,400","1,450","1,450","1,400","357,46K","-6,04%"
"26.03.2020","1,490","1,480","1,510","1,480","137,20K","0,00%"
"25.03.2020","1,490","1,500","1,500","1,470","272,88K","-6,29%"
"20.03.2020","1,590","1,590","1,590","1,590","14,04K","0,00%"
"19.03.2020","1,590","1,590","1,590","1,590","21,96K","0,00%"
"18.03.2020","1,590","1,600","1,600","1,590","11,00K","-0,62%"
"17.03.2020","1,600","1,700","1,700","1,600","749,61K","-5,88%"
"13.03.2020","1,700","1,660","1,700","1,660","32,88K","3,03%"
"12.03.2020","1,650","1,650","1,650","1,650","41,75K","-2,94%"
"11.03.2020","1,700","1,750","1,750","1,700","106,00K","-5,56%"
"10.03.2020","1,800","1,830","1,830","1,800","43,60K","-4,76%"
"06.03.2020","1,890","1,900","1,900","1,890","152,88K","-2,07%"
"05.03.2020","1,930","1,950","1,950","1,930","403,76K","-1,03%"
"04.03.2020","1,950","1,960","1,960","1,950","1,06M","-0,51%"
"03.03.2020","1,960","1,960","1,970","1,950","1,06M","0,00%"
"02.03.2020","1,960","1,960","1,960","1,960","499,68K","-0,51%"
"28.02.2020","1,970","1,900","2,000","1,900","415,98K","3,14%"
"27.02.2020","1,910","1,930","1,930","1,910","432,51K","-1,55%"
"26.02.2020","1,940","1,940","1,940","1,940","349,13K","-0,51%"
"25.02.2020","1,950","1,950","1,950","1,950","71,62K","-0,51%"
"24.02.2020","1,960","1,970","1,970","1,960","23,00K","-0,51%"
"21.02.2020","1,970","1,970","1,970","1,970","56,61K","0,00%"
"20.02.2020","1,970","1,970","1,970","1,970","183,04K","0,00%"
"19.02.2020","1,970","2,000","2,000","1,970","33,00K","0,00%"
"18.02.2020","1,970","1,970","1,970","1,970","86,84K","0,66%"
"17.02.2020","1,957","1,957","1,957","1,957","388,70K","0,00%"
"14.02.2020","1,957","1,977","1,977","1,957","1,18M","0,00%"
"12.02.2020","1,957","1,957","1,967","1,957","119,97K","-0,51%"
"11.02.2020","1,967","1,967","1,967","1,967","13,50K","0,51%"
"10.02.2020","1,957","1,957","1,957","1,957","49,50K","-0,51%"
"07.02.2020","1,967","1,967","1,967","1,967","47,67K","0,00%"
"06.02.2020","1,967","1,977","1,977","1,967","592,28K","-0,51%"
"05.02.2020","1,977","1,947","1,987","1,947","677,30K","2,07%"
"04.02.2020","1,937","1,897","1,937","1,897","4,28M","2,49%"
"03.02.2020","1,890","2,000","2,000","1,880","224,20K","-0,53%"
"31.01.2020","1,900","1,920","1,920","1,900","72,92K","-1,04%"
"29.01.2020","1,920","1,920","1,920","1,910","2,42M","0,00%"
"28.01.2020","1,920","1,940","1,940","1,920","110,20K","-1,03%"
"27.01.2020","1,940","1,940","1,940","1,940","176,23K","0,00%"
"24.01.2020","1,940","1,950","1,950","1,940","461,28K","-0,51%"
"23.01.2020","1,950","1,930","1,950","1,930","384,97K","0,00%"
"22.01.2020","1,950","1,930","1,950","1,930","1,05M","1,04%"
"21.01.2020","1,930","1,950","1,950","1,900","1,14M","-1,03%"
"20.01.2020","1,950","1,960","1,960","1,950","7,55K","0,00%"
"17.01.2020","1,950","1,950","1,950","1,880","230,68K","0,00%"
"16.01.2020","1,950","1,940","1,950","1,940","154,61K","0,52%"
"15.01.2020","1,940","1,960","1,960","1,940","274,78K","-1,02%"
"14.01.2020","1,960","1,960","1,960","1,940","210,74K","0,51%"
"13.01.2020","1,950","1,960","1,960","1,950","91,82K","0,00%"
"10.01.2020","1,950","1,960","1,990","1,950","1,20M","-1,52%"
"09.01.2020","1,980","1,980","1,980","1,980","169,66K","-1,00%"
"08.01.2020","2,000","2,000","2,000","2,000","23,00K","0,00%"
"07.01.2020","2,000","1,980","2,000","1,980","20,20K","0,00%"
"06.01.2020","2,000","2,000","2,000","2,000","1,05M","0,00%"
"03.01.2020","2,000","1,980","2,020","1,980","1,41M","0,00%"
"02.01.2020","2,000","2,000","2,000","2,000","13,67K","0,00%"
"31.12.2019","2,000","2,000","2,000","2,000","6,76K","0,00%"
"30.12.2019","2,000","2,000","2,000","2,000","6,76K","0,00%"
