"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.05.2020","0,340","0,340","0,345","0,330","1,34M","-1,45%"
"21.05.2020","0,345","0,343","0,345","0,340","917,75K","0,00%"
"20.05.2020","0,345","0,340","0,345","0,340","1,65M","1,47%"
"19.05.2020","0,340","0,335","0,340","0,332","2,44M","3,03%"
"18.05.2020","0,330","0,320","0,330","0,320","3,45M","6,45%"
"15.05.2020","0,310","0,310","0,310","0,305","2,65M","0,00%"
"14.05.2020","0,310","0,319","0,319","0,310","466,00K","-3,12%"
"13.05.2020","0,320","0,340","0,340","0,319","2,85M","-5,88%"
"12.05.2020","0,340","0,340","0,350","0,340","3,79M","-2,86%"
"11.05.2020","0,350","0,350","0,350","0,340","1,81M","0,29%"
"08.05.2020","0,349","0,340","0,349","0,330","32,86M","5,76%"
"07.05.2020","0,330","0,330","0,331","0,327","1,79M","3,13%"
"06.05.2020","0,320","0,310","0,325","0,310","1,99M","3,56%"
"05.05.2020","0,309","0,300","0,309","0,300","3,84M","6,55%"
"04.05.2020","0,290","0,289","0,290","0,289","260,50K","0,35%"
"30.04.2020","0,289","0,285","0,291","0,285","788,78K","1,05%"
"29.04.2020","0,286","0,275","0,286","0,275","1,02M","4,00%"
"28.04.2020","0,275","0,272","0,275","0,270","511,45K","-1,79%"
"27.04.2020","0,280","0,280","0,280","0,280","441,49K","0,00%"
"24.04.2020","0,280","0,285","0,285","0,275","841,47K","-1,75%"
"23.04.2020","0,285","0,286","0,286","0,280","998,81K","0,00%"
"22.04.2020","0,285","0,280","0,290","0,280","1,01M","3,64%"
"21.04.2020","0,275","0,270","0,275","0,270","683,40K","-1,79%"
"20.04.2020","0,280","0,295","0,295","0,280","949,37K","-6,67%"
"17.04.2020","0,300","0,300","0,300","0,295","1,59M","3,45%"
"16.04.2020","0,290","0,292","0,302","0,290","1,70M","3,57%"
"15.04.2020","0,280","0,270","0,280","0,267","660,74K","3,32%"
"14.04.2020","0,271","0,255","0,271","0,255","1,88M","8,40%"
"13.04.2020","0,250","0,255","0,255","0,245","2,36M","-6,37%"
"08.04.2020","0,267","0,265","0,267","0,260","748,33K","0,75%"
"07.04.2020","0,265","0,280","0,280","0,265","2,41M","-0,75%"
"06.04.2020","0,267","0,273","0,273","0,266","2,47M","-1,11%"
"03.04.2020","0,270","0,289","0,289","0,270","2,35M","-6,90%"
"02.04.2020","0,290","0,300","0,300","0,280","2,15M","-3,33%"
"01.04.2020","0,300","0,300","0,300","0,290","1,12M","-3,23%"
"31.03.2020","0,310","0,305","0,310","0,300","15,77M","3,68%"
"30.03.2020","0,299","0,310","0,310","0,298","2,27M","-3,55%"
"27.03.2020","0,310","0,305","0,319","0,305","7,38M","2,99%"
"26.03.2020","0,301","0,300","0,320","0,300","17,31M","0,67%"
"25.03.2020","0,299","0,300","0,309","0,298","1,73M","-0,33%"
"24.03.2020","0,300","0,310","0,320","0,290","34,88M","3,45%"
"23.03.2020","0,290","0,305","0,305","0,289","7,82M","-8,52%"
"20.03.2020","0,317","0,350","0,350","0,310","2,08M","-6,76%"
"19.03.2020","0,340","0,334","0,340","0,334","1,25M","1,49%"
"18.03.2020","0,335","0,350","0,363","0,335","1,44M","-9,46%"
"17.03.2020","0,370","0,345","0,373","0,344","923,31K","5,71%"
"16.03.2020","0,350","0,375","0,375","0,350","2,10M","-10,94%"
"13.03.2020","0,393","0,416","0,426","0,393","11,24M","0,77%"
"12.03.2020","0,390","0,394","0,394","0,380","1,73M","-4,88%"
"11.03.2020","0,410","0,424","0,424","0,410","2,48M","-6,82%"
"10.03.2020","0,440","0,420","0,440","0,420","1,42M","8,37%"
"09.03.2020","0,406","0,420","0,420","0,390","1,18M","-6,67%"
"06.03.2020","0,435","0,450","0,450","0,430","1,15M","-5,43%"
"05.03.2020","0,460","0,470","0,470","0,460","4,24M","-3,16%"
"04.03.2020","0,475","0,510","0,510","0,470","2,69M","-5,00%"
"03.03.2020","0,500","0,465","0,500","0,465","11,21M","7,53%"
"02.03.2020","0,465","0,441","0,465","0,440","2,04M","6,16%"
"28.02.2020","0,438","0,429","0,438","0,405","1,52M","-0,45%"
"27.02.2020","0,440","0,450","0,450","0,420","1,15M","-5,58%"
"26.02.2020","0,466","0,480","0,489","0,466","942,76K","-2,92%"
"25.02.2020","0,480","0,496","0,496","0,480","1,25M","-4,00%"
"24.02.2020","0,500","0,500","0,510","0,485","1,68M","-3,85%"
"21.02.2020","0,520","0,530","0,530","0,520","1,09M","-1,89%"
